llhd,beta,alpha
-5498.03028299919,0.1,0.1
-5114.37072270004,0.1,1.14736842105263
-5001.85377271805,0.1,2.19473684210526
-4929.72737970779,0.1,3.2421052631578897
-4879.522897864461,0.1,4.28947368421053
-4845.6316941031,0.1,5.33684210526316
-4824.8490766391105,0.1,6.3842105263157904
-4814.69002285061,0.1,7.43157894736842
-4813.06057946695,0.1,8.47894736842105
-4818.1854081488,0.1,9.52631578947368
-4828.5859632396605,0.1,10.5736842105263
-4843.0583369201,0.1,11.6210526315789
-4860.6404395278205,0.1,12.6684210526316
-4880.57309559246,0.1,13.715789473684199
-4902.26158631391,0.1,14.7631578947368
-4925.2415994637395,0.1,15.810526315789499
-4949.15096546663,0.1,16.857894736842102
-4973.70705292408,0.1,17.905263157894698
-4998.68906167022,0.1,18.952631578947397
-5023.92430035976,0.1,20.0
-5166.07262335385,2.7263157894736803,0.1
-5013.04945120483,2.7263157894736803,1.14736842105263
-4931.00376406113,2.7263157894736803,2.19473684210526
-4875.71198434003,2.7263157894736803,3.2421052631578897
-4838.62379431659,2.7263157894736803,4.28947368421053
-4815.67781213274,2.7263157894736803,5.33684210526316
-4804.015771572121,2.7263157894736803,6.3842105263157904
-4801.34594856453,2.7263157894736803,7.43157894736842
-4805.77278759821,2.7263157894736803,8.47894736842105
-4815.7341129151,2.7263157894736803,9.52631578947368
-4829.962543189939,2.7263157894736803,10.5736842105263
-4847.44651733302,2.7263157894736803,11.6210526315789
-4867.38849989132,2.7263157894736803,12.6684210526316
-4889.16441961952,2.7263157894736803,13.715789473684199
-4912.28777000446,2.7263157894736803,14.7631578947368
-4936.37974158901,2.7263157894736803,15.810526315789499
-4961.145296782971,2.7263157894736803,16.857894736842102
-4986.35442018651,2.7263157894736803,17.905263157894698
-5011.82759552267,2.7263157894736803,18.952631578947397
-5037.42461497331,2.7263157894736803,20.0
-5046.74030991118,5.35263157894737,0.1
-4939.64054522087,5.35263157894737,1.14736842105263
-4876.10597207517,5.35263157894737,2.19473684210526
-4834.45044334887,5.35263157894737,3.2421052631578897
-4808.53072858452,5.35263157894737,4.28947368421053
-4794.81085371669,5.35263157894737,5.33684210526316
-4790.68879258803,5.35263157894737,6.3842105263157904
-4794.1003899977795,5.35263157894737,7.43157894736842
-4803.37673935913,5.35263157894737,8.47894736842105
-4817.1726381155495,5.35263157894737,9.52631578947368
-4834.41563175766,5.35263157894737,10.5736842105263
-4854.26005771328,5.35263157894737,11.6210526315789
-4876.044319567271,5.35263157894737,12.6684210526316
-4899.25312773253,5.35263157894737,13.715789473684199
-4923.48587569525,5.35263157894737,14.7631578947368
-4948.431160442371,5.35263157894737,15.810526315789499
-4973.84674603492,5.35263157894737,16.857894736842102
-4999.544023223611,5.35263157894737,17.905263157894698
-5025.37603709262,5.35263157894737,18.952631578947397
-5051.22828340544,5.35263157894737,20.0
-4964.266489066889,7.97894736842105,0.1
-4882.78856783484,7.97894736842105,1.14736842105263
-4834.01475783422,7.97894736842105,2.19473684210526
-4803.908265270879,7.97894736842105,3.2421052631578897
-4787.39519530701,7.97894736842105,4.28947368421053
-4781.316056420999,7.97894736842105,5.33684210526316
-4783.338285909729,7.97894736842105,6.3842105263157904
-4791.64268453406,7.97894736842105,7.43157894736842
-4804.78507502229,7.97894736842105,8.47894736842105
-4821.61858040391,7.97894736842105,9.52631578947368
-4841.23859502671,7.97894736842105,10.5736842105263
-4862.9368708987,7.97894736842105,11.6210526315789
-4886.16180872954,7.97894736842105,12.6684210526316
-4910.48500273642,7.97894736842105,13.715789473684199
-4935.574020696,7.97894736842105,14.7631578947368
-4961.170842541621,7.97894736842105,15.810526315789499
-4987.0750691678795,7.97894736842105,16.857894736842102
-5013.13096718676,7.97894736842105,17.905263157894698
-5039.21751267981,7.97894736842105,18.952631578947397
-5065.2407428877,7.97894736842105,20.0
-4901.9622699642,10.605263157894699,0.1
-4839.07600259048,10.605263157894699,1.14736842105263
-4802.61685869436,10.605263157894699,2.19473684210526
-4782.22367111903,10.605263157894699,3.2421052631578897
-4773.52160527225,10.605263157894699,4.28947368421053
-4773.69697314111,10.605263157894699,5.33684210526316
-4780.69045752546,10.605263157894699,6.3842105263157904
-4792.919916080539,10.605263157894699,7.43157894736842
-4809.14497111188,10.605263157894699,8.47894736842105
-4828.38958438572,10.605263157894699,9.52631578947368
-4849.88879857741,10.605263157894699,10.5736842105263
-4873.04626720682,10.605263157894699,11.6210526315789
-4897.39888228872,10.605263157894699,12.6684210526316
-4922.58771299461,10.605263157894699,13.715789473684199
-4948.3347245042405,10.605263157894699,14.7631578947368
-4974.424504957679,10.605263157894699,15.810526315789499
-5000.690108295979,10.605263157894699,16.857894736842102
-5027.00215991037,10.605263157894699,17.905263157894698
-5053.26049274265,10.605263157894699,18.952631578947397
-5079.38772226492,10.605263157894699,20.0
-4854.41245216064,13.2315789473684,0.1
-4806.18372834945,13.2315789473684,1.14736842105263
-4780.0235826998205,13.2315789473684,2.19473684210526
-4767.7205425415605,13.2315789473684,3.2421052631578897
-4765.447177102729,13.2315789473684,4.28947368421053
-4770.71559014317,13.2315789473684,5.33684210526316
-4781.72486050198,13.2315789473684,6.3842105263157904
-4797.10653653964,13.2315789473684,7.43157894736842
-4815.79611364647,13.2315789473684,8.47894736842105
-4836.96050484742,13.2315789473684,9.52631578947368
-4859.94932725486,13.2315789473684,10.5736842105263
-4884.2569924337795,13.2315789473684,11.6210526315789
-4909.49173739065,13.2315789473684,12.6684210526316
-4935.35051537389,13.2315789473684,13.715789473684199
-4961.59904834219,13.2315789473684,14.7631578947368
-4988.0562483216,13.2315789473684,15.810526315789499
-5014.58218093741,13.2315789473684,16.857894736842102
-5041.06881503395,13.2315789473684,17.905263157894698
-5067.432923501379,13.2315789473684,18.952631578947397
-5093.61062858952,13.2315789473684,20.0
-4818.474340566971,15.8578947368421,0.1
-4782.145460962821,15.8578947368421,1.14736842105263
-4764.57262537443,15.8578947368421,2.19473684210526
-4758.96865665517,15.8578947368421,3.2421052631578897
-4761.96794942823,15.8578947368421,4.28947368421053
-4771.38164276302,15.8578947368421,5.33684210526316
-4785.64081646497,15.8578947368421,6.3842105263157904
-4803.56202779194,15.8578947368421,7.43157894736842
-4824.22890116375,15.8578947368421,8.47894736842105
-4846.926596094961,15.8578947368421,9.52631578947368
-4871.098473639529,15.8578947368421,10.5736842105263
-4896.31276356078,15.8578947368421,11.6210526315789
-4922.235582962199,15.8578947368421,12.6684210526316
-4948.60920631211,15.8578947368421,13.715789473684199
-4975.23487925296,15.8578947368421,14.7631578947368
-5001.9594330289,15.8578947368421,15.810526315789499
-5028.66495790427,15.8578947368421,16.857894736842102
-5055.26087216505,15.8578947368421,17.905263157894698
-5081.6778362564,15.8578947368421,18.952631578947397
-5107.8630756763005,15.8578947368421,20.0
-4791.82870692909,18.484210526315803,0.1
-4765.28668166215,18.484210526315803,1.14736842105263
-4754.86198274855,18.484210526315803,2.19473684210526
-4754.7955830316705,18.484210526315803,3.2421052631578897
-4762.121182892321,18.484210526315803,4.28947368421053
-4774.91676736507,18.484210526315803,5.33684210526316
-4791.81532771449,18.484210526315803,6.3842105263157904
-4811.79039644794,18.484210526315803,7.43157894736842
-4834.049167034021,18.484210526315803,8.47894736842105
-4857.97442427678,18.484210526315803,9.52631578947368
-4883.0864726482205,18.484210526315803,10.5736842105263
-4909.0139608996005,18.484210526315803,11.6210526315789
-4935.4703450242105,18.484210526315803,12.6684210526316
-4962.23498972867,18.484210526315803,13.715789473684199
-4989.138255826921,18.484210526315803,14.7631578947368
-5016.0499028676895,18.484210526315803,15.810526315789499
-5042.87014976671,18.484210526315803,16.857894736842102
-5069.522811935471,18.484210526315803,17.905263157894698
-5095.95003552742,18.484210526315803,18.952631578947397
-5122.108250223379,18.484210526315803,20.0
-4772.64852043161,21.1105263157895,0.1
-4754.21784925844,21.1105263157895,1.14736842105263
-4749.74648613812,21.1105263157895,2.19473684210526
-4754.26297472974,21.1105263157895,3.2421052631578897
-4765.1480462790005,21.1105263157895,4.28947368421053
-4780.7131289873605,21.1105263157895,5.33684210526316
-4799.7640599118,21.1105263157895,6.3842105263157904
-4821.40646891216,21.1105263157895,7.43157894736842
-4844.95048157369,21.1105263157895,8.47894736842105
