Date,EnergyConsumption,Energy Source
1990,398.64538569999996,7 Gas
1990,877.6782837000001,6 Coal
1990,1142.402832,8 Oil
1991,0.811999977,1 Geo Biomass
1991,0.0,3 Solar
1991,0.0,4 Wind
1991,179.3458099,5 Hydro
1991,25.94623756,2 Nuclear
1991,401.6355896,7 Gas
1991,853.7621460000001,6 Coal
1991,1148.7052,8 Oil
1992,0.84224999,1 Geo Biomass
1992,0.0,3 Solar
1992,0.0,4 Wind
1992,171.0922546,5 Hydro
1992,26.35483932,2 Nuclear
1992,421.2702637,7 Gas
1992,858.8311767999999,6 Coal
1992,1170.524658,8 Oil
1993,0.937699974,1 Geo Biomass
1993,0.0,3 Solar
1993,0.005916667,4 Wind
1993,167.6095581,5 Hydro
1993,20.586170199999998,2 Nuclear
1993,412.64398189999997,7 Gas
1993,871.7139281999999,6 Coal
1993,1180.07666,8 Oil
1994,0.8349999790000001,1 Geo Biomass
1994,0.0,3 Solar
1994,0.015972223,4 Wind
1994,170.31089780000002,5 Hydro
1994,27.51538277,2 Nuclear
1994,431.8279419,7 Gas
1994,894.4478149,6 Coal
1994,1221.884644,8 Oil
1995,1.018700004,1 Geo Biomass
1995,0.0,3 Solar
1995,0.018638888,4 Wind
1995,176.7359161,5 Hydro
1995,32.06675339,2 Nuclear
1995,461.2434998,7 Gas
1995,922.4712524,6 Coal
1995,1266.7817380000001,8 Oil
1996,1.258092999,1 Geo Biomass
1996,0.0,3 Solar
1996,0.021,4 Wind
1996,184.269104,5 Hydro
1996,33.41173935,2 Nuclear
1996,484.19177249999996,7 Gas
1996,935.2282104000001,6 Coal
1996,1293.971191,8 Oil
1997,1.386640429,1 Geo Biomass
1997,0.0,3 Solar
1997,0.021277777999999997,4 Wind
1997,188.8111572,5 Hydro
1997,35.88605118,2 Nuclear
1997,474.4755249,7 Gas
1997,959.0191039999999,6 Coal
1997,1332.273071,8 Oil
1998,1.71254921,1 Geo Biomass
1998,0.0,3 Solar
1998,0.022472221,4 Wind
1998,197.0977936,5 Hydro
1998,38.59304047,2 Nuclear
1998,499.3369751,7 Gas
1998,937.0389403999999,6 Coal
1998,1363.508667,8 Oil
1999,1.6961247919999998,1 Geo Biomass
1999,0.0,3 Solar
1999,0.058539443,4 Wind
1999,209.01260380000002,5 Hydro
1999,36.42517853,2 Nuclear
1999,504.01962280000004,7 Gas
1999,966.0106812000001,6 Coal
1999,1414.560181,8 Oil
2000,2.269063234,1 Geo Biomass
2000,0.035313889,3 Solar
2000,0.518951416,4 Wind
2000,222.53063959999997,5 Hydro
2000,36.91606903,2 Nuclear
2000,556.8223877,7 Gas
2000,963.7305908,6 Coal
2000,1420.386475,8 Oil
2001,2.335352659,1 Geo Biomass
2001,0.043955833,3 Solar
2001,1.220885873,4 Wind
2001,237.57630919999997,5 Hydro
2001,30.21781921,2 Nuclear
2001,634.6361694,7 Gas
2001,975.9262695,6 Coal
2001,1432.664307,8 Oil
2002,2.28640008,1 Geo Biomass
2002,0.049043614000000006,3 Solar
2002,1.2947480679999999,4 Wind
2002,248.17819210000002,5 Hydro
2002,33.58561325,2 Nuclear
2002,670.6054077,7 Gas
2002,934.4215697999999,6 Coal
2002,1479.1665039999998,8 Oil
2003,2.622400045,1 Geo Biomass
2003,0.058158889000000005,3 Solar
2003,1.553291917,4 Wind
2003,239.476593,5 Hydro
2003,35.24045944,2 Nuclear
2003,711.5067138999999,7 Gas
2003,1017.048401,6 Coal
2003,1524.815063,8 Oil
2004,2.978849649,1 Geo Biomass
2004,0.070790559,3 Solar
2004,2.213917017,4 Wind
2004,251.3361664,5 Hydro
2004,36.95752716,2 Nuclear
2004,783.0681762999999,7 Gas
2004,1119.161865,6 Coal
2004,1586.510742,8 Oil
2005,3.0096693039999995,1 Geo Biomass
2005,0.084134445,3 Solar
2005,2.234556675,4 Wind
2005,254.3791809,5 Hydro
2005,31.02905273,2 Nuclear
2005,807.7815552000001,7 Gas
2005,1039.072632,6 Coal
2005,1654.919189,8 Oil
2006,3.770404816,1 Geo Biomass
2006,0.10786166800000001,3 Solar
2006,2.425894022,4 Wind
2006,261.91766359999997,5 Hydro
2006,27.37537956,2 Nuclear
2006,843.4420776000001,7 Gas
2006,1054.097046,6 Coal
2006,1673.716797,8 Oil
2007,3.142048359,1 Geo Biomass
2007,0.142732784,3 Solar
2007,2.873494387,4 Wind
