Population,Mobility,Income
2661167,0.050859265,42208
202967,0.0708944052,32372
188410,0.0684076101,30313
132008,0.0727181509,32010
195637,0.1254040152,31111
225682,0.0648590028,28949
142321,0.07471264150000001,24643
1663807,0.049094066,40286
326186,0.0644607842,33186
310658,0.11312764880000001,28923
411749,0.10237690810000001,30392
2561364,0.09514869,38686
809682,0.0669745952,34808
659098,0.0751668066,31989
468038,0.0640164241,34411
60271,0.10579936949999999,26302
259942,0.1049584672,28593
40323,0.1264108419,25062
174251,0.10644502939999999,28131
58143,0.1285289675,25662
347345,0.09722939130000001,34109
23028,0.1465677172,23337
204354,0.13784037529999998,23076
344380,0.0685057491,29101
174641,0.0938897133,31025
188559,0.0680161938,34674
408535,0.0870945826,34829
155822,0.09690553689999999,29147
115649,0.0972972959,36887
273489,0.0613825992,37999
1080612,0.076672107,35778
161132,0.0928838924,31398
294558,0.088044025,35192
2369699,0.06678254900000001,38618
346894,0.09369221330000001,32548
197898,0.0801330507,29823
41086,0.1629834324,34878
250613,0.1011804417,27436
169879,0.0854566842,28561
110160,0.082840234,32624
1061509,0.0833333358,40298
191962,0.11136677119999999,30863
857487,0.1074531749,35125
227275,0.1016209498,31689
637958,0.0826314986,39894
1114959,0.0963095427,38217
1051424,0.0792682916,38699
873232,0.0948357806,39707
11781395,0.1050008386,45509
1126217,0.1222978607,54036
5822286,0.1024259701,51373
5602247,0.0740116686,43746
586216,0.0657239258,44620
439269,0.0625960082,36398
154018,0.0626359284,43805
51398,0.044514104699999994,31562
289843,0.08090968429999999,32900
33941,0.0680272132,26505
73938,0.0855855867,27952
690459,0.0805980191,37252
321496,0.09318785369999999,37131
95549,0.083530806,31204
265884,0.078877002,38571
1582997,0.08209533990000001,39543
9520,0.0810810775,49651
14987,0.06766917559999999,48059
4974945,0.10484997929999999,49445
1193391,0.1001517475,43530
118041,0.0901116431,37048
680014,0.06805047389999999,36671
3405565,0.0786178932,53281
171947,0.08651911470000001,41091
47701,0.0910326093,32218
47063,0.1022727266,26975
32049,0.12138728050000001,32111
67833,0.1062801927,37115
92542,0.10152620820000001,33974
56993,0.1285500675,36392
72898,0.17706575989999998,37753
33969,0.19718310239999998,37685
149925,0.1263440847,34778
109871,0.137931034,35164
254139,0.12688960130000002,35324
2904389,0.0852011293,47071
41526,0.10969793050000001,32880
141542,0.08427454529999999,35545
228867,0.14215984939999998,42380
71187,0.1177325547,38505
78179,0.1265984625,36400
72111,0.1657142788,34000
113442,0.1126346737,35247
222112,0.1224658638,34720
29516,0.1357615888,36422
203768,0.0931849778,35558
252901,0.1173184365,40330
142385,0.12449799480000001,33871
195533,0.1380908191,39238
549651,0.1148549691,38576
310560,0.0910990387,38561
65966,0.0839002281,33696
370092,0.1244852692,36499
305307,0.1130195782,33090
220109,0.11819332839999999,34419
116624,0.16713881490000002,33582
590755,0.09219117460000001,40576
163189,0.15948276220000002,36443
101161,0.0958677679,31206
101195,0.1015452519,31741
206909,0.0845864639,37177
382083,0.0677927956,34871
136489,0.1022797301,35038
145734,0.0885935798,30827
382351,0.0809443519,37759
70445,0.1138790026,34146
529703,0.0717817843,38842
584474,0.0691956431,39333
1660659,0.0445706695,42464
135167,0.0730964467,35849
8183799,0.0649292618,45757
622573,0.0735386536,37848
111509,0.0797373354,26402
137456,0.08524464820000001,27773
2325609,0.0505231395,42680
37989,0.0756756738,30615
84748,0.0911504403,30777
267992,0.06737159940000001,40182
382997,0.0872936994,36421
152421,0.0896204859,31869
64068,0.0895061716,32623
90551,0.08155487480000001,26979
76174,0.09971509869999999,29629
51737,0.1096006781,32635
64601,0.0960288793,29503
151629,0.09922780099999999,31361
117387,0.073929958,30330
138654,0.0744777471,34572
34177,0.0704545453,28383
141040,0.0813443735,33265
265022,0.0790478364,28913
37978,0.1121372059,29680
184036,0.0600515455,30141
73576,0.0668257773,28334
105181,0.051401868499999996,26795
198671,0.0810322613,29115
20860,0.1875,33398
286544,0.0891148299,34404
5168,0.1016949117,39706
14355,0.174129352,37115
56535,0.10137275609999999,29088
48599,0.09483793380000001,31245
22192,0.1119221374,31879
14189,0.1083333343,30864
12442,0.0871369317,28324
29873,0.1467181444,30736
38491,0.1134380475,26767
114739,0.186741367,35396
2841,,30352
10029,0.2989130318,34910
2753,,29680
22745,0.096474953,32687
6516,0.3333333433,36561
16550,0.0825545192,25045
74541,0.2241784036,31149
11487,0.219101131,33947
2713,0.22972972690000001,25283
2837,0.21276596190000002,30325
4009,0.4696969688,34194
8671,0.3571428657,34793
2017,,32705
12597,0.0941883773,24254
4105,0.3181818128,33727
12276,0.1660649776,31217
12051,0.2666666806,29215
27124,0.329207927,29909
22035,0.25056946280000003,30292
24286,0.3383084536,32277
40630,0.1666666716,30234
14160,0.1843575388,30819
200630,0.11863314359999999,36624
40078,0.1435294151,35143
17801,0.17021276059999998,34361
20859,0.107066378,30613
8225,0.0700280145,17401
7756,0.11111111189999999,31322
52825,0.1992687434,33760
101639,0.0952868834,31567
31090,0.2325581461,34409
28038,0.1787564754,32095
108213,0.1279491782,31651
206945,0.1358173043,34085
16013,0.2352941185,35168
38384,0.22405660149999998,32842
2754,,34890
117558,0.1523076892,36094
69851,0.1645569652,31851
14875,0.18934911489999998,31084
9975,0.2392344475,31042
6264,0.1920529753,30825
11222,0.1392857134,29623
47901,0.17120000719999998,31086
27613,0.1338199526,33753
19318,0.1204819307,35617
20883,0.157107234,29594
11291,0.0804195777,26746
5412,0.3150684834,39611
20809,0.09243697669999999,38653
2693,0.32653060559999997,37190
85394,0.12471395730000001,35795
51470,0.153061226,34330
58454,0.2307692319,32542
60435,0.1402936429,34678
61106,0.1850079745,38061
49010,0.1287128776,35648
52812,0.17343173920000002,34279
101165,0.1300448477,35646
595842,0.09102482349999999,40108
35600,0.1245136186,31082
34687,0.1515837163,35644
48729,0.1672354937,34862
158442,0.0930329561,33201
8491,0.05111821,18546
5126,0.11034482720000001,26268
1193,,30669
11133,0.0242537316,17598
65903,0.1194029823,33192
95526,0.0956375822,34425
21345,0.171581775,31966
22238,0.0319488831,19815
56990,0.1516079605,31600
61167,0.1691842973,34258
42251,0.11111111189999999,34343
26871,0.18681319059999998,35524
77708,0.1420996785,33160
187773,0.1125235409,35655
25165,0.100386098,32028
311956,0.09131675210000001,35973
40078,0.1583514065,34517
48197,0.12421383710000002,33242
803201,0.0775407478,39948
39751,0.1446345299,31170
16920,0.1622807086,34904
2292,,31316
8122,0.14534883199999998,31506
13105,0.1764705926,33846
35939,0.1227678582,35591
587132,0.089342691,37765
6087,0.1785714328,25562
4517,0.1919191927,31260
187782,0.0656216815,31075
23069,0.1176470593,30720
11864,0.204651162,32575
6438,0.2432432473,36684
5953,0.1686746925,27980
10537,0.14864864949999998,34879
17107,0.1958762854,36561
8509,0.19491524989999998,32861
5457,0.2045454532,36524
19695,0.1824561357,32797
56033,0.1644295305,31135
48464,0.1652777791,33765
16242,0.0894736871,33185
131682,0.16901408140000002,45256
12442,0.0754716992,40411
33591,0.1628664434,26024
459601,0.1153677776,37523
2449044,0.08702775089999999,46181
18232,0.1551724076,35115
1967,,37696
42837,0.1133093536,31771
47227,0.1312803924,33946
82076,0.1073891595,33452
38196,0.1578947306,33330
8631,0.1151079163,34104
5609,0.1494252831,38615
19894,0.152823925,36131
11112,0.1863353997,35206
11384,0.1503759325,36359
63338,0.0829986632,35541
21441,0.17182131109999998,34022
17448,0.145228222,34953
143269,0.08853118869999999,28788
324513,0.0704687983,35816
553506,0.0722466931,38847
75784,0.1034965068,36055
51584,0.10986267029999999,33686
51067,0.09263959529999999,32282
47830,0.1094017103,29885
145981,0.089498803,34266
85465,0.0803461075,33080
1762873,0.0701465756,42531
158300,0.0831134543,32194
88232,0.0825631544,31289
33693,0.11274509880000001,27754
18093,0.1208459213,31181
302388,0.0655129775,32705
79924,0.0677856654,34165
440866,0.0714676157,31926
137575,0.0748914629,31417
266742,0.0722867027,30456
54651,0.0856643394,28968
138646,0.08873608710000001,28758
332832,0.0939385965,29347
152466,0.0631011054,27011
384122,0.0918065161,32612
79601,0.0984643176,26432
921246,0.0783574954,36227
51499,0.0810611621,26343
26123,0.200000003,32076
102415,0.1492687911,31507
857648,0.0864412785,25721
81709,0.0849557519,29489
13270,0.08127208799999999,32267
61950,0.06972789019999999,26356
2975,0.2234636843,21738
113040,0.1166123748,30443
6920,0.1204819307,22180
90061,0.1619496793,27195
287568,0.0673753768,30597
73078,0.0828157365,28205
29588,0.08036622410000001,29302
240752,0.0861367062,33188
57355,0.1533333361,33957
8490,0.1336405575,32499
9400,0.1171548143,29000
1426,,36160
52751,0.0848522931,27000
52031,0.1089108884,30158
15778,0.19072164600000002,34785
9185,0.19130434100000002,39001
32998,0.1211453751,30590
17432,0.2328358144,33736
29937,0.1617021263,30685
31880,0.1360153258,29327
165277,0.1014729962,33599
42194,0.11401425300000001,36151
18628,0.0696202517,28893
1298076,0.0693216324,41322
51191,0.0947368443,41431
1724863,0.0643825904,34002
47805,0.1021594703,18313
64467,0.0956375822,42197
3738,0.17441859839999999,44195
262282,0.1788869947,33502
31286,0.2329545468,24735
20908,0.2227805704,22363
18377,0.1802656502,25586
21848,0.0832049325,17379
22118,0.09375,18365
210580,0.108853586,21530
978369,0.0916091129,20392
503493,0.10556760429999999,30127
208437,0.0777777806,26268
320912,0.11571612210000001,34849
4504013,0.0927379802,38963
497770,0.094970569,31840
191792,0.0773425847,25251
103842,0.09391839800000001,28783
113973,0.0863864273,31936
23666,0.1181434616,27666
6828,0.0734693855,35219
35212,0.0968436152,26771
49316,0.1230604574,24076
47297,0.100081034,18470
54073,0.1144414172,26412
20146,0.1220285296,28676
26918,0.1560891867,26045
191518,0.10329198839999999,29968
9592,0.0782608688,23872
15157,0.16901408140000002,29543
151524,0.09660449619999999,30238
28556,0.1759398431,31567
4093,0.0860215053,35578
21022,0.0880733952,32588
58246,0.1086637303,30586
55256,0.1141975299,30856
281618,0.0675374344,31690
100377,0.1013043448,29976
330714,0.0772482678,28336
1804370,0.0913628563,39232
3405666,0.0710824654,43436
185835,0.0767123252,32552
434643,0.0951065049,32245
289849,0.11419707539999999,32365
235988,0.0788930878,31309
171610,0.10488088429999999,27931
48010,0.1121495292,28343
9287,0.07430340349999999,29047
117982,0.1107882336,29691
60885,0.1871988922,28315
75666,0.1154462844,28080
1154246,0.0820752904,34352
69207,0.1167294234,25140
178371,0.08847980949999999,32930
210357,0.0707567334,31877
97397,0.0922787189,26431
2697,,16696
369296,0.1339529753,41724
10195,0.1599999964,39972
1258,,39909
7208,0.0645161271,27613
9196,0.0467836261,29589
6745,0.1118421033,31291
13913,0.1461538523,38933
37347,0.125,43595
15519,0.0708661452,42159
20216,0.122605361,39002
23034,0.0518638566,23593
7385,0.1000000015,39123
5465,0.1304347813,23637
97458,0.16062684359999999,35935
25840,0.08214849980000001,27557
24938,0.0475059375,25615
95101,0.09635974470000001,32458
12386,0.1716417968,31401
37247,0.1474036872,32675
13171,0.1306532621,34375
35804,0.1243184283,30954
46306,0.1044932082,32114
12895,0.1792828739,30026
1279,,27449
12102,0.088888891,28921
152638,0.13051916660000001,35377
4191,0.200000003,26263
9202,0.11688311400000001,27667
93985,0.1259689927,31692
70150,0.11974109710000001,33610
54033,0.089366518,30173
9871,0.0991379321,28983
18837,0.1302605271,26385
111205,0.1108414233,32003
135756,0.1056273058,31286
46229,0.2641843855,34452
15639,0.1934156418,31828
78585,0.1662689,34840
2407,,30783
876156,0.1052926034,39404
58463,0.09930715710000002,38210
128241,0.0848938823,39556
49495,0.0858484209,26569
218804,0.0803233162,38838
10965,0.0730337054,30332
4174,0.12230215970000001,30305
46190,0.09886792300000001,27094
755244,0.0659846142,35591
21621,0.052117262000000004,24360
3303211,0.0752772912,40624
42036,0.1105919033,23579
999882,0.0705499947,35571
187857,0.1463671476,35421
14746,0.1061946899,32805
168198,0.0914475247,30450
289883,0.08145090940000001,35102
40087,0.1267806292,28799
241691,0.0410613976,20837
148677,0.0682675838,35010
120807,0.0871191844,35364
41590,0.11389236900000001,28357
493970,0.0739204213,35642
62170,0.08448415990000001,27631
11127,0.12403100730000001,33157
130138,0.10848329220000001,31383
54045,0.1373439282,26759
8485,0.11797752980000001,31770
25012,0.1286031008,28605
2509,0.2096774131,32242
389179,0.1375119984,29115
1426729,0.10832742599999999,36988
149590,0.1369095296,28953
269722,0.09250866619999999,30119
12148,0.1549295783,30782
24250,0.11392404880000001,53838
38860,0.1589041054,39506
39595,0.2533783913,26254
13715,0.1769911498,29943
80730,0.20539419350000002,33999
151353,0.0856175944,29858
7609,0.13939394060000002,30896
7422,0.10982658710000001,31635
219295,0.0880713463,33442
139540,0.07579272990000001,30456
256995,0.0719680116,36289
48644,0.08342245969999999,29532
163178,0.0819778815,32479
729182,0.0936282724,31666
661645,0.12161971630000001,28781
1419998,0.0748793706,28267
387577,0.0948425978,31471
2570609,0.09690900890000001,39560
2393183,0.1293258816,52004
61917,0.1602941155,32701
22799,0.1695501804,31976
24379,0.1176470593,36905
453825,0.0910304934,41398
603188,0.09955089539999999,43636
4642561,0.1215258688,54014
1568418,0.0800290108,38429
5071,0.10975609720000001,34004
30798,0.1159420311,38537
2813833,0.10436475279999999,40913
302387,0.09821322560000001,26908
646028,0.112940833,40050
16393360,0.096090205,38902
88546,0.0902097896,32663
75675,0.1423611045,24766
91126,0.09657947720000001,29315
99219,0.09354604779999999,36330
608317,0.0928014889,34286
86890,0.09752475470000001,29312
220580,0.0927726701,34298
1842889,0.0930585414,41718
65297,0.1043802425,32881
936387,0.0788958147,34589
68741,0.0725744814,36264
255943,0.0817065835,30403
332609,0.1058548018,34510
41271,0.08767471460000001,31277
7226,0.143790856,34762
153558,0.08172635730000001,37787
3462,0.1086956486,33476
7935,0.11585365980000001,32736
14077,0.1016949117,58628
166814,0.11557512730000001,35491
90478,0.0858400613,39625
3775744,0.1085509509,44591
